Misdemeanor Offenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
79,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,7,20,47,33,28,32,22,30,39,53,70,55,75,34,28,14,11,10
,MISDEMEANOR SEX CRIMES (4),64,67,70,79,82,71,130,86,96,79,71,68,89,61,62,63,60,77
,MISDEMEANOR DANGEROUS DRUGS  (1),2174,1933,1995,2058,1605,1474,1682,2448,1891,2661,1998,1730,1490,1225,845,434,428,617
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,55,69,79,76,61,77,100,108,104,96,94,92,101,75,62,31,27,39
,PETIT LARCENY                         ,998,970,1010,946,1048,1142,975,1068,1128,865,1041,1179,964,1142,1152,1089,1117,1041
,ASSAULT 3 AND RELATED OFFENSES        ,1166,1193,965,982,1059,1150,1061,1021,1050,1063,1129,1067,1178,1049,989,683,692,656
,INTOXICATED & IMPAIRED DRIVING              ,50,47,37,38,28,64,65,136,109,159,154,124,77,89,82,49,55,43
,VEHICLE AND TRAFFIC LAWS              ,111,101,86,80,67,60,43,71,55,82,78,83,75,80,76,81,77,82
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,636,507,609,680,696,827,773,717,763,581,806,800,716,633,619,575,628,567
,CRIMINAL TRESPASS,353,181,139,235,184,208,237,347,487,674,311,268,291,258,193,185,133,176
,UNAUTHORIZED USE OF A VEHICLE           ,33,16,12,7,9,10,14,13,15,13,13,15,21,15,14,20,16,16
,OFFENSES AGAINST THE PERSON (7)      ,21,14,12,7,12,27,24,22,20,21,32,25,19,28,15,18,18,39
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),95,104,114,99,92,131,190,172,204,221,190,167,229,248,163,89,94,62
,ADMINISTRATIVE CODE (6)            ,57,50,32,34,32,22,18,16,18,18,20,12,26,10,9,9,8,13
,FRAUDS (3)                    ,156,146,83,58,54,47,40,49,44,79,87,52,78,63,66,46,44,40
,AGGRAVATED HARASSMENT 2               ,714,732,531,485,561,666,596,527,492,441,545,399,415,411,214,279,290,301
,OTHER MISDEMEANORS (8),686,564,617,478,543,502,357,330,317,483,552,857,762,815,710,1096,884,672
,TOTAL MISDEMEANOR OFFENSES,7376,6714,6438,6375,6161,6510,6327,7161,6832,7589,7191,6993,6606,6236,5299,4761,4582,4451
81,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,19,21,18,16,21,7,12,9,12,18,24,47,28,14,20,5,9,13
,MISDEMEANOR SEX CRIMES (4),37,41,60,52,63,43,73,80,75,66,78,60,57,61,59,44,60,61
,MISDEMEANOR DANGEROUS DRUGS  (1),1380,1201,997,792,1010,802,1046,1334,1361,1411,1514,1227,1043,835,729,428,426,290
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,65,63,80,62,56,50,79,92,85,53,83,76,55,66,32,36,30,13
,PETIT LARCENY                         ,610,557,654,654,635,710,633,697,657,711,816,723,750,696,669,686,692,688
,ASSAULT 3 AND RELATED OFFENSES        ,800,895,723,794,757,765,702,701,689,759,938,858,880,894,765,467,494,444
,INTOXICATED & IMPAIRED DRIVING              ,30,14,16,31,16,26,42,79,51,65,67,87,117,88,88,42,61,51
,VEHICLE AND TRAFFIC LAWS              ,222,135,94,90,60,41,58,41,56,44,53,60,57,62,67,55,55,47
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,573,447,477,535,490,482,525,578,552,689,693,485,481,435,462,479,437,470
,CRIMINAL TRESPASS,147,118,99,77,105,57,97,113,280,331,360,198,183,190,155,77,117,140
,UNAUTHORIZED USE OF A VEHICLE           ,16,11,26,14,14,17,15,14,14,14,12,12,12,14,12,13,12,14
,OFFENSES AGAINST THE PERSON (7)      ,9,12,12,14,8,8,8,9,10,10,6,6,24,21,14,9,16,11
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),97,118,73,72,83,72,77,93,113,131,180,159,157,155,80,56,41,40
,ADMINISTRATIVE CODE (6)            ,33,53,34,32,22,30,27,34,50,31,38,23,24,47,27,35,22,9
,FRAUDS (3)                    ,69,78,68,42,49,27,30,43,41,44,44,58,41,36,60,27,35,28
,AGGRAVATED HARASSMENT 2               ,407,423,412,390,387,379,390,370,334,333,353,352,366,340,261,241,248,209
,OTHER MISDEMEANORS (8),546,294,296,293,348,398,279,267,284,502,783,797,895,854,683,957,694,500
,TOTAL MISDEMEANOR OFFENSES,5060,4481,4139,3960,4124,3914,4093,4554,4664,5212,6042,5228,5170,4808,4183,3657,3449,3028
83,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,19,18,32,36,24,19,25,33,20,12,17,104,45,33,27,13,13,42
,MISDEMEANOR SEX CRIMES (4),99,78,76,85,90,78,107,104,101,87,88,77,97,63,81,72,74,73
,MISDEMEANOR DANGEROUS DRUGS  (1),3135,1911,1832,1893,1518,1991,1649,1987,1922,2362,1986,2280,1723,1152,896,523,497,399
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,89,54,76,74,85,118,97,104,120,97,86,116,73,51,39,42,27,25
,PETIT LARCENY                         ,935,945,844,843,813,775,791,659,751,712,758,781,776,965,1055,903,980,1094
,ASSAULT 3 AND RELATED OFFENSES        ,1147,1214,1031,1058,1029,995,1123,1007,917,850,923,898,1053,976,879,679,711,664
,INTOXICATED & IMPAIRED DRIVING              ,135,83,82,100,113,120,84,60,118,71,80,83,122,111,108,43,50,48
,VEHICLE AND TRAFFIC LAWS              ,192,147,118,109,72,90,96,68,58,63,90,57,78,76,77,98,81,101
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,770,620,529,533,562,536,569,689,709,701,599,505,556,521,489,568,639,726
,CRIMINAL TRESPASS,81,65,54,106,62,92,157,75,89,85,87,149,213,145,128,117,110,81
,UNAUTHORIZED USE OF A VEHICLE           ,22,10,12,11,24,21,15,10,9,9,8,10,15,12,12,14,12,12
,OFFENSES AGAINST THE PERSON (7)      ,22,25,18,13,11,15,17,9,10,14,14,13,22,20,17,12,12,16
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),127,88,103,46,83,106,117,149,110,94,88,98,105,78,90,80,70,78
,ADMINISTRATIVE CODE (6)            ,34,29,23,15,16,12,30,18,18,21,12,37,19,29,23,18,22,13
,FRAUDS (3)                    ,78,84,42,58,49,37,42,27,31,26,37,37,62,68,44,35,23,29
,AGGRAVATED HARASSMENT 2               ,506,633,513,404,453,442,459,430,385,372,374,352,328,287,197,298,249,225
,OTHER MISDEMEANORS (8),640,612,619,611,537,553,333,206,328,373,466,464,531,608,542,676,476,330
,TOTAL MISDEMEANOR OFFENSES,8031,6616,6004,5995,5541,6000,5711,5635,5696,5949,5713,6061,5818,5195,4704,4191,4046,3956
84,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,17,30,12,14,12,39,50,4,16,7,23,69,68,69,31,27,29,18
,MISDEMEANOR SEX CRIMES (4),47,37,40,26,33,53,37,36,43,38,42,50,41,32,33,45,57,59
,MISDEMEANOR DANGEROUS DRUGS  (1),338,239,216,233,201,136,254,268,278,193,227,233,236,169,165,99,122,112
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,33,25,21,24,10,21,68,46,52,83,47,38,28,41,34,30,30,27
,PETIT LARCENY                         ,1711,1477,1207,1203,1214,1283,1172,1378,1354,1268,1505,1359,1262,1418,1456,1448,1624,1566
,ASSAULT 3 AND RELATED OFFENSES        ,468,476,409,453,358,379,417,417,343,401,405,488,452,394,345,308,342,381
,INTOXICATED & IMPAIRED DRIVING              ,15,31,17,27,30,34,56,104,76,128,119,59,57,69,61,34,52,60
,VEHICLE AND TRAFFIC LAWS              ,119,88,73,64,45,46,37,65,38,48,52,50,41,40,51,68,71,42
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,483,429,326,333,324,340,335,411,389,358,373,381,330,320,254,313,280,262
,CRIMINAL TRESPASS,133,47,52,50,62,64,70,61,93,95,69,91,106,49,61,48,46,74
,UNAUTHORIZED USE OF A VEHICLE           ,12,20,7,3,12,9,4,3,6,14,13,7,6,20,14,9,16,25
,OFFENSES AGAINST THE PERSON (7)      ,11,12,7,6,13,10,13,5,7,9,11,14,18,8,11,22,35,37
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),125,145,103,97,99,97,133,128,125,141,156,140,133,134,93,73,77,76
,ADMINISTRATIVE CODE (6)            ,9,3,7,3,4,2,4,1,5,3,1,1,1,0,0,2,1,3
,FRAUDS (3)                    ,54,49,61,47,28,38,51,36,34,52,70,61,59,41,46,26,61,35
,AGGRAVATED HARASSMENT 2               ,347,362,322,271,307,278,275,322,287,272,308,249,275,213,133,110,117,150
,OTHER MISDEMEANORS (8),1284,1045,468,494,557,447,465,432,577,851,794,734,720,754,962,896,946,750
,TOTAL MISDEMEANOR OFFENSES,5206,4515,3348,3348,3309,3276,3441,3717,3723,3961,4215,4024,3833,3771,3750,3558,3906,3677
88,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,8,5,13,16,24,39,36,33,14,41,12,13,13,14,6,3,9,4
,MISDEMEANOR SEX CRIMES (4),47,52,39,50,46,40,41,30,46,34,36,35,47,40,18,35,30,36
,MISDEMEANOR DANGEROUS DRUGS  (1),984,1030,726,610,364,475,621,562,349,365,457,517,516,363,314,261,242,216
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,21,21,29,27,23,19,28,38,24,34,19,33,27,22,19,24,29,10
,PETIT LARCENY                         ,1288,1187,1082,1056,1027,1197,1181,1191,1278,1055,1191,1359,1351,827,813,705,647,670
,ASSAULT 3 AND RELATED OFFENSES        ,496,485,487,396,408,349,339,324,284,314,335,331,433,392,426,309,316,308
,INTOXICATED & IMPAIRED DRIVING              ,36,18,20,38,35,28,42,45,38,49,44,35,26,22,36,23,41,28
,VEHICLE AND TRAFFIC LAWS              ,58,51,56,46,31,47,33,42,40,40,42,46,27,47,56,27,65,47
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,468,448,436,491,353,401,413,428,458,324,360,419,332,315,419,354,360,368
,CRIMINAL TRESPASS,101,82,75,157,105,79,135,165,79,115,153,106,123,131,139,126,128,92
,UNAUTHORIZED USE OF A VEHICLE           ,21,21,13,10,10,13,12,5,5,8,8,4,12,8,7,8,6,5
,OFFENSES AGAINST THE PERSON (7)      ,20,19,8,8,6,2,7,10,14,13,5,11,10,8,17,9,8,8
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),104,103,71,80,65,47,72,72,64,79,92,72,73,49,48,56,42,15
,ADMINISTRATIVE CODE (6)            ,10,12,11,14,14,8,10,8,3,4,4,5,2,5,3,4,4,2
,FRAUDS (3)                    ,107,100,59,43,19,38,38,39,30,19,36,30,31,48,35,28,32,19
,AGGRAVATED HARASSMENT 2               ,379,337,320,270,226,190,185,191,111,172,180,174,188,192,123,154,191,207
,OTHER MISDEMEANORS (8),618,515,284,213,245,250,249,194,192,344,343,346,541,327,463,295,352,246
,TOTAL MISDEMEANOR OFFENSES,4766,4486,3729,3525,3001,3222,3442,3377,3029,3010,3317,3536,3752,2810,2942,2421,2502,2281
90,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,11,15,23,18,13,24,16,15,17,28,18,51,32,25,18,8,10,10
,MISDEMEANOR SEX CRIMES (4),56,55,52,43,49,60,75,66,48,55,51,52,76,51,53,57,56,60
,MISDEMEANOR DANGEROUS DRUGS  (1),1018,1007,957,877,669,653,835,781,943,838,798,1037,877,729,573,483,325,419
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,33,32,36,32,28,48,50,45,74,61,61,84,45,40,24,22,22,20
,PETIT LARCENY                         ,919,993,1066,1056,1001,1242,1092,1069,1162,1108,1259,1213,1211,1209,1342,1214,1200,1250
,ASSAULT 3 AND RELATED OFFENSES        ,685,741,701,608,624,637,605,588,532,478,558,650,657,653,569,493,534,495
,INTOXICATED & IMPAIRED DRIVING              ,58,49,36,30,53,43,53,47,118,55,66,60,70,93,62,66,65,79
,VEHICLE AND TRAFFIC LAWS              ,120,91,97,62,64,54,75,63,74,53,62,53,79,89,78,91,104,95
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,543,478,552,505,518,623,644,755,864,732,772,799,682,681,712,729,651,670
,CRIMINAL TRESPASS,127,114,132,178,187,128,139,195,235,269,234,257,217,223,203,143,151,132
,UNAUTHORIZED USE OF A VEHICLE           ,15,11,9,13,14,13,17,6,9,2,5,6,8,13,11,21,30,31
,OFFENSES AGAINST THE PERSON (7)      ,15,10,30,10,15,15,20,8,8,2,6,6,10,8,21,24,14,23
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),58,56,56,48,33,48,53,64,71,87,71,104,76,78,64,58,42,47
,ADMINISTRATIVE CODE (6)            ,7,10,10,8,13,5,5,1,6,2,9,4,3,10,3,0,6,2
,FRAUDS (3)                    ,45,54,66,32,38,17,45,39,57,38,24,35,31,51,30,31,23,35
,AGGRAVATED HARASSMENT 2               ,414,444,473,475,370,318,295,281,298,328,315,275,311,333,262,322,303,215
,OTHER MISDEMEANORS (8),440,352,315,283,350,351,220,155,263,357,394,510,489,571,651,782,821,456
,TOTAL MISDEMEANOR OFFENSES,4564,4512,4611,4278,4039,4279,4239,4178,4779,4493,4703,5196,4874,4857,4676,4544,4357,4039
94,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,2,7,13,4,7,10,10,7,12,10,11,18,17,6,7,9,5,5
,MISDEMEANOR SEX CRIMES (4),23,34,25,22,29,20,19,17,21,18,28,22,25,11,25,41,24,35
,MISDEMEANOR DANGEROUS DRUGS  (1),100,105,73,79,53,90,113,109,151,174,267,196,194,208,126,141,143,162
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,27,8,11,10,11,18,13,16,18,15,31,23,25,24,20,7,15,9
,PETIT LARCENY                         ,597,638,604,635,633,581,481,476,630,599,616,770,730,704,792,840,801,771
,ASSAULT 3 AND RELATED OFFENSES        ,355,321,276,329,288,250,280,271,249,266,233,252,318,384,280,278,282,289
,INTOXICATED & IMPAIRED DRIVING              ,35,21,32,45,41,100,189,101,49,38,32,26,108,143,167,54,29,44
,VEHICLE AND TRAFFIC LAWS              ,51,61,51,33,44,27,31,32,25,18,34,25,33,38,42,54,45,66
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,348,366,370,350,352,352,319,350,436,398,337,440,441,350,405,339,345,416
,CRIMINAL TRESPASS,25,37,23,48,62,73,47,24,40,84,49,30,45,48,47,52,82,135
,UNAUTHORIZED USE OF A VEHICLE           ,7,19,12,9,12,13,9,3,1,5,9,8,6,11,10,8,15,10
,OFFENSES AGAINST THE PERSON (7)      ,8,6,12,3,6,4,2,8,2,7,6,4,2,13,9,3,6,20
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),56,58,50,58,53,55,51,41,39,46,39,40,42,38,44,36,22,33
,ADMINISTRATIVE CODE (6)            ,11,11,9,7,6,3,10,6,9,5,2,4,6,6,5,4,5,4
,FRAUDS (3)                    ,46,40,30,19,24,23,9,19,21,19,13,15,13,21,23,15,35,38
,AGGRAVATED HARASSMENT 2               ,235,236,219,190,184,182,147,153,123,129,115,127,145,140,133,120,148,172
,OTHER MISDEMEANORS (8),202,199,84,117,93,88,62,37,73,89,111,123,186,212,309,267,308,178
,TOTAL MISDEMEANOR OFFENSES,2128,2167,1894,1958,1898,1889,1792,1670,1899,1920,1933,2123,2336,2357,2444,2268,2310,2387
100,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,4,8,7,9,5,6,13,5,5,9,13,15,20,9,4,7,14,10
,MISDEMEANOR SEX CRIMES (4),24,31,34,34,31,24,37,18,28,31,36,43,31,10,24,20,40,17
,MISDEMEANOR DANGEROUS DRUGS  (1),184,163,260,348,248,110,166,181,266,184,256,264,212,156,175,159,62,62
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,6,15,16,15,15,14,10,23,29,36,29,20,20,30,32,26,23,8
,PETIT LARCENY                         ,387,378,333,311,328,359,355,292,332,294,304,279,359,298,412,375,366,495
,ASSAULT 3 AND RELATED OFFENSES        ,266,275,307,366,375,352,308,326,311,336,390,274,287,326,332,231,289,269
,INTOXICATED & IMPAIRED DRIVING              ,17,13,19,34,28,41,35,44,39,42,34,38,29,37,35,20,24,42
,VEHICLE AND TRAFFIC LAWS              ,32,18,16,17,13,13,11,9,12,15,14,17,26,23,20,13,11,21
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,319,252,256,228,273,256,271,310,317,276,280,221,171,168,198,177,178,175
,CRIMINAL TRESPASS,53,47,86,113,139,90,120,100,151,117,100,133,88,51,61,48,33,32
,UNAUTHORIZED USE OF A VEHICLE           ,10,11,7,16,15,9,9,6,7,8,5,6,4,5,11,16,13,5
,OFFENSES AGAINST THE PERSON (7)      ,9,10,18,28,13,11,6,8,10,9,9,5,10,14,8,10,4,5
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),61,68,75,77,42,43,51,39,42,36,37,42,24,42,52,36,25,36
,ADMINISTRATIVE CODE (6)            ,5,10,7,3,7,5,4,15,9,6,8,8,5,9,3,15,3,11
,FRAUDS (3)                    ,6,29,29,11,8,18,14,14,14,22,15,17,21,30,56,40,38,18
,AGGRAVATED HARASSMENT 2               ,215,223,218,233,198,165,171,179,120,200,179,120,147,133,183,156,120,107
,OTHER MISDEMEANORS (8),93,79,97,100,91,80,87,117,125,118,125,110,118,153,283,309,252,232
,TOTAL MISDEMEANOR OFFENSES,1691,1630,1785,1943,1829,1596,1668,1686,1817,1739,1834,1612,1572,1494,1889,1658,1495,1545
101,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,7,11,12,7,12,12,13,10,7,5,14,9,13,19,6,10,7,10
,MISDEMEANOR SEX CRIMES (4),65,47,54,36,39,29,75,42,34,75,56,54,36,41,49,59,58,68
,MISDEMEANOR DANGEROUS DRUGS  (1),1069,698,596,659,513,435,658,898,1035,844,852,847,650,643,702,194,162,181
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,42,30,27,54,56,62,87,73,85,76,71,94,57,100,80,54,32,27
,PETIT LARCENY                         ,769,725,664,639,513,556,424,389,364,416,355,373,482,547,520,476,507,521
,ASSAULT 3 AND RELATED OFFENSES        ,587,648,587,564,524,524,488,491,491,447,471,495,597,601,536,480,501,488
,INTOXICATED & IMPAIRED DRIVING              ,34,14,8,18,28,43,38,50,47,56,49,47,51,45,60,44,41,37
,VEHICLE AND TRAFFIC LAWS              ,43,38,47,35,22,18,19,10,16,23,32,20,24,23,26,26,32,27
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,606,532,500,404,398,455,507,615,528,549,540,453,428,460,391,363,338,282
,CRIMINAL TRESPASS,208,225,167,221,284,336,304,286,512,506,506,300,220,159,170,72,85,57
,UNAUTHORIZED USE OF A VEHICLE           ,26,30,27,37,24,18,20,7,8,11,6,11,11,19,32,28,14,24
,OFFENSES AGAINST THE PERSON (7)      ,17,10,10,9,8,14,12,9,7,4,9,4,5,10,8,5,8,6
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),50,97,65,53,89,78,83,70,75,104,68,85,47,89,105,56,43,41
,ADMINISTRATIVE CODE (6)            ,27,20,16,9,7,15,10,13,11,7,2,5,6,11,15,13,12,12
,FRAUDS (3)                    ,32,46,24,21,21,20,32,27,19,16,15,15,16,40,49,36,44,39
,AGGRAVATED HARASSMENT 2               ,446,435,405,333,349,333,339,399,353,273,263,224,250,243,250,233,264,236
,OTHER MISDEMEANORS (8),107,74,92,75,77,57,49,67,66,111,82,256,122,84,188,367,375,247
,TOTAL MISDEMEANOR OFFENSES,4135,3680,3301,3174,2964,3005,3158,3456,3658,3523,3391,3292,3015,3134,3187,2516,2523,2303
102,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,5,25,20,24,19,18,27,18,12,15,27,24,23,23,15,13,10,7
,MISDEMEANOR SEX CRIMES (4),58,43,68,78,54,51,98,73,79,68,75,104,50,48,56,58,48,65
,MISDEMEANOR DANGEROUS DRUGS  (1),360,420,414,508,175,156,212,455,474,458,549,442,367,356,168,229,378,629
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,30,32,31,27,30,35,45,80,69,46,65,53,37,47,35,31,30,28
,PETIT LARCENY                         ,1321,1204,1211,1096,887,906,923,906,980,842,813,974,960,1002,1027,907,884,861
,ASSAULT 3 AND RELATED OFFENSES        ,778,698,692,778,704,708,726,760,773,687,721,640,787,763,722,629,591,488
,INTOXICATED & IMPAIRED DRIVING              ,95,111,168,126,278,295,304,197,144,155,130,129,157,218,167,100,114,68
,VEHICLE AND TRAFFIC LAWS              ,141,106,105,82,82,57,74,68,59,56,64,74,79,74,74,70,72,86
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,1020,983,944,633,617,712,713,877,813,824,782,730,642,705,759,635,628,559
,CRIMINAL TRESPASS,45,60,73,78,40,46,47,106,105,97,98,119,141,199,103,99,115,98
,UNAUTHORIZED USE OF A VEHICLE           ,24,30,28,20,10,15,16,25,23,9,17,28,24,25,31,25,42,29
,OFFENSES AGAINST THE PERSON (7)      ,11,6,8,6,18,17,10,14,10,5,8,5,5,15,22,9,15,8
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),42,39,31,35,26,30,65,69,93,72,102,84,94,106,74,67,51,52
,ADMINISTRATIVE CODE (6)            ,62,43,32,22,17,24,10,15,25,21,21,35,11,19,17,24,8,10
,FRAUDS (3)                    ,113,97,58,64,31,26,22,17,28,16,23,24,18,25,26,23,29,28
,AGGRAVATED HARASSMENT 2               ,632,591,624,554,525,550,411,487,462,469,429,382,342,403,217,188,166,174
,OTHER MISDEMEANORS (8),198,180,164,123,153,69,79,76,135,125,92,77,100,103,133,241,193,193
,TOTAL MISDEMEANOR OFFENSES,4935,4668,4671,4254,3666,3715,3782,4243,4284,3965,4016,3924,3837,4131,3646,3348,3374,3383
103,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,20,25,20,32,52,27,53,55,77,17,30,53,55,101,41,30,12,9
,MISDEMEANOR SEX CRIMES (4),58,77,69,101,69,58,73,59,78,71,79,126,73,53,57,79,60,65
,MISDEMEANOR DANGEROUS DRUGS  (1),2753,2303,1617,1729,1244,1315,1279,1266,1413,1289,1525,1548,1328,1215,1268,1180,1045,697
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,68,49,69,132,208,223,220,159,161,173,172,159,167,208,136,113,109,51
,PETIT LARCENY                         ,1503,1368,1260,1238,1324,1023,1030,1073,1190,1055,1121,1202,1014,1119,1175,1091,895,937
,ASSAULT 3 AND RELATED OFFENSES        ,940,900,835,709,813,905,944,846,875,853,906,946,984,1145,1034,818,730,706
,INTOXICATED & IMPAIRED DRIVING              ,42,45,45,52,92,68,84,95,88,67,61,41,46,70,68,78,66,76
,VEHICLE AND TRAFFIC LAWS              ,150,152,138,117,80,77,77,71,94,81,75,93,67,79,72,113,112,103
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,743,680,562,541,572,626,666,648,743,557,646,537,448,538,603,653,576,581
,CRIMINAL TRESPASS,289,231,128,161,118,106,173,177,223,209,207,191,179,203,243,196,137,63
,UNAUTHORIZED USE OF A VEHICLE           ,30,38,29,37,38,16,31,20,21,22,23,40,17,31,19,18,20,25
,OFFENSES AGAINST THE PERSON (7)      ,15,16,15,2,15,11,4,13,13,10,15,15,19,10,16,10,7,8
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),186,182,172,165,167,122,189,197,168,188,168,209,239,273,291,297,198,145
,ADMINISTRATIVE CODE (6)            ,49,41,43,27,32,34,25,22,31,32,35,34,29,25,39,29,7,28
,FRAUDS (3)                    ,84,131,68,55,43,38,43,44,61,50,54,66,107,99,118,104,81,33
,AGGRAVATED HARASSMENT 2               ,538,550,546,462,526,484,463,422,408,469,407,425,430,459,439,443,449,390
,OTHER MISDEMEANORS (8),388,323,404,462,546,620,484,614,795,830,800,584,706,893,944,1299,1005,698
,TOTAL MISDEMEANOR OFFENSES,7856,7111,6020,6022,5939,5753,5838,5781,6439,5973,6324,6269,5908,6521,6563,6551,5509,4615
104,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,13,7,15,22,16,23,23,10,16,18,29,20,21,34,26,21,12,17
,MISDEMEANOR SEX CRIMES (4),62,64,60,41,56,45,53,61,48,71,71,80,58,53,56,52,53,79
,MISDEMEANOR DANGEROUS DRUGS  (1),973,882,870,771,435,430,554,522,527,747,879,911,678,586,509,332,180,251
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,16,32,58,43,110,94,119,84,74,96,93,131,103,84,89,54,33,26
,PETIT LARCENY                         ,1383,1323,1448,1070,1079,1096,1159,1140,1227,1140,1062,1080,1073,1178,1098,987,1031,1089
,ASSAULT 3 AND RELATED OFFENSES        ,728,769,728,657,653,621,577,619,667,700,772,732,795,701,740,467,518,487
,INTOXICATED & IMPAIRED DRIVING              ,69,67,67,76,99,138,109,85,98,85,66,88,121,154,150,84,94,81
,VEHICLE AND TRAFFIC LAWS              ,274,132,117,118,88,82,83,87,74,83,94,86,94,82,73,71,79,83
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,1022,1119,812,728,838,772,908,993,1052,915,1371,2533,1821,799,803,710,676,757
,CRIMINAL TRESPASS,60,69,54,40,61,80,110,75,96,134,236,175,200,157,169,118,64,116
,UNAUTHORIZED USE OF A VEHICLE           ,37,34,40,28,31,32,30,18,21,17,48,28,40,40,44,50,48,77
,OFFENSES AGAINST THE PERSON (7)      ,33,21,13,17,13,11,18,13,20,11,14,11,18,30,15,14,8,25
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),155,152,145,114,126,126,133,142,156,194,171,191,198,99,114,93,70,46
,ADMINISTRATIVE CODE (6)            ,35,49,32,24,18,12,9,16,20,14,29,23,20,24,17,21,14,13
,FRAUDS (3)                    ,72,100,21,40,58,35,34,35,39,49,51,45,86,93,101,70,52,42
,AGGRAVATED HARASSMENT 2               ,709,738,713,606,503,554,528,543,509,546,514,535,482,475,294,266,190,198
,OTHER MISDEMEANORS (8),154,130,120,109,158,102,90,86,146,164,265,314,401,400,390,458,385,279
,TOTAL MISDEMEANOR OFFENSES,5795,5688,5313,4504,4342,4253,4537,4529,4790,4984,5765,6983,6209,4989,4688,3868,3507,3666
105,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,12,17,34,22,26,21,25,21,16,18,16,20,28,19,7,9,5,9
,MISDEMEANOR SEX CRIMES (4),56,66,74,72,69,67,69,55,65,70,82,108,52,57,51,45,49,58
,MISDEMEANOR DANGEROUS DRUGS  (1),475,371,504,804,534,819,846,921,950,1050,1025,1020,930,656,600,312,238,384
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,25,42,48,51,56,56,61,41,51,103,108,44,49,67,44,20,30,26
,PETIT LARCENY                         ,1167,1286,1300,1081,1060,1014,949,860,920,954,815,782,796,721,767,839,816,842
,ASSAULT 3 AND RELATED OFFENSES        ,802,841,926,817,730,874,907,837,838,827,734,762,739,830,875,647,642,568
,INTOXICATED & IMPAIRED DRIVING              ,40,45,71,87,75,76,76,83,65,67,44,44,52,106,81,45,56,59
,VEHICLE AND TRAFFIC LAWS              ,192,182,124,105,106,94,88,112,92,121,93,97,98,108,103,119,126,114
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,848,786,802,875,962,756,881,832,854,773,662,567,522,605,573,583,584,490
,CRIMINAL TRESPASS,76,73,68,51,66,71,100,66,38,53,65,64,75,100,86,54,78,72
,UNAUTHORIZED USE OF A VEHICLE           ,39,29,49,53,35,31,38,41,31,49,35,39,31,45,38,32,41,31
